Time_sec,Force_kN,Date
5.57399999934205e-06,0.7064497470855713,Wed Apr 29 10:16:12 2020
2.502203812999994,0.1355568567911784,Wed Apr 29 10:16:14 2020
4.5103387750000365,0.13573606808980307,Wed Apr 29 10:16:16 2020
17.510006212000008,0.13625383377075195,Wed Apr 29 10:16:29 2020
20.299888766000038,0.13625383377075195,Wed Apr 29 10:16:32 2020
22.32204361600003,0.13563950856526694,Wed Apr 29 10:16:34 2020
24.334416133000047,0.13563950856526694,Wed Apr 29 10:16:36 2020
26.34903478000001,0.13552467028299967,Wed Apr 29 10:16:38 2020
28.363118168000028,0.13587315877278647,Wed Apr 29 10:16:40 2020
30.377202296999997,0.13527592023213705,Wed Apr 29 10:16:42 2020
32.391144258,0.13575077056884766,Wed Apr 29 10:16:44 2020
34.40729207200002,0.13575077056884766,Wed Apr 29 10:16:46 2020
36.42111966300001,0.13515671094258627,Wed Apr 29 10:16:48 2020
38.435086847000036,0.13515671094258627,Wed Apr 29 10:16:50 2020
42.97565965900003,0.13580004374186197,Wed Apr 29 10:16:55 2020
47.99368986000002,0.13571937878926596,Wed Apr 29 10:17:00 2020
53.010573652999994,0.1351769765218099,Wed Apr 29 10:17:05 2020
58.02758479900001,0.1355433464050293,Wed Apr 29 10:17:10 2020
63.04471420300001,0.13490875562032065,Wed Apr 29 10:17:15 2020
68.06894216300003,0.13494769732157388,Wed Apr 29 10:17:20 2020
73.08394206700001,0.13518412907918295,Wed Apr 29 10:17:25 2020
78.09599376800003,0.1358004411061605,Wed Apr 29 10:17:30 2020
83.11301433900002,0.13551036516825357,Wed Apr 29 10:17:35 2020
88.12331639199999,0.2717097600301107,Wed Apr 29 10:17:40 2020
93.135979389,0.13549407323201498,Wed Apr 29 10:17:45 2020
98.14641366400002,0.13568560282389322,Wed Apr 29 10:17:50 2020
103.15666612400003,0.135571559270223,Wed Apr 29 10:17:55 2020
108.16681943500004,0.13397653897603354,Wed Apr 29 10:18:00 2020
113.18105452500004,0.1353939374287923,Wed Apr 29 10:18:05 2020
118.19146242900001,0.13575434684753418,Wed Apr 29 10:18:10 2020
123.20223644500004,0.1565710703531901,Wed Apr 29 10:18:15 2020
128.21692234900001,0.1313769817352295,Wed Apr 29 10:18:20 2020
133.23418305,0.13589739799499512,Wed Apr 29 10:18:25 2020
138.24859612100005,0.1352842648824056,Wed Apr 29 10:18:30 2020
143.264545655,0.1351956526438395,Wed Apr 29 10:18:35 2020
148.27476622600005,0.13579527537027997,Wed Apr 29 10:18:40 2020
